college_name,Review,Keyword,compound,neg,neu,pos,sentiment
IIT Bombay,"Offers a vibrant campus life, excellent education at an affordable price, outstanding placements, rigorous academics, and modern infrastructure.",Overall,0.875,0.08,0.496,0.424,Positive
IIT Bombay,"Vibrant campus life with a plethora of student clubs, organizations, and activities.",Campus Life,0.5267,0.0,0.746,0.254,Positive
IIT Bombay,Excellent education at a relatively affordable price.,Value for Money,0.5719,0.0,0.575,0.425,Positive
IIT Bombay,Outstanding placement record with over 95% of students securing placements.,Placements,0.743,0.0,0.559,0.441,Positive
IIT Bombay,Rigorous and challenging academic program that prepares students for success.,Academics,0.4939,0.146,0.486,0.368,Positive
IIT Bombay,Modern and well-equipped campus that provides students with all the resources they need.,College Infrastructure,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,"My college has all necessary infrastructure. We have facilities for any sport you can think of. We have a separate building dedicated for library purposes. Although hostels are old, cleanliness is maintained.",College Infrastructure,0.4588,0.0,0.909,0.091,Positive
IIT Bombay,"I am currently an undergraduate at IIT Bombay. I am doing my major in Aerospace Engineering at IIT Bombay. I have a major interest in knowing everything about things that fly, especially launch vehicles. I feel the current curriculum is good but some changes can be made to make it the best.",Academics,0.8674,0.0,0.819,0.181,Positive
IIT Bombay,"There are huge opportunities for a student at IIT Bombay, be it in the core or non-core sector. As long as my department is concerned, around 80-90% of the students are placed both in core and non-core companies.",Placements,0.5994,0.0,0.877,0.123,Positive
IIT Bombay,"Fees: 2-2.5 lacs / year. I feel I have taken an informed decision because IIT Bombay has clubs for anything you can think of (tech and non-tech) which help me follow my hobbies and interests. On an overall basis, I am getting my money's worth.",Value for Money,0.6808,0.0,0.852,0.148,Positive
IIT Bombay,"This is the thing I am missing the most. I have never visited my campus due to COVID-19, but I can assure you that the campus life is outstanding. We have respective task forces created for all sorts of emergencies.",Campus Life,0.9349,0.033,0.661,0.306,Positive
